Target,Regulator,Type,Weight
CD44,CD44,1,1.6731713
CD44,CD324,-1,0.4357529
CD44,b_catenin,-1,0.5114142
CD44,Vimentin,1,3.2141883
MUC1,MUC1,1,3.789234
MUC1,b_catenin,1,0.6542338
CD324,CD44,-1,1.8490434
CD324,CD324,1,2.1732094
CD324,b_catenin,1,1.7352953
CD324,Vimentin,-1,0.49966326
b_catenin,CD44,-1,1.6648113
b_catenin,MUC1,1,0.77369756
b_catenin,CD324,1,2.0065606
b_catenin,b_catenin,1,1.6155058
Vimentin,CD44,1,1.0809431
Vimentin,MUC1,-1,1.0521142
Vimentin,b_catenin,-1,0.3829061
Vimentin,Vimentin,1,3.636005
